Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1001 Search by Keyword,Chrome 108.0.0.0,,,2565-12-16 12:40:52,2565-12-16 12:41:33,41.047s,PASSED
,,,,,,,
Test Cases/Tc1001 search by keyword,Chrome 108.0.0.0,,,2565-12-16 12:40:53,2565-12-16 12:41:11,18.082s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:40:54,2565-12-16 12:40:59,5.518s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:40:59,2565-12-16 12:41:01,1.717s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""NPRU"")",Chrome 108.0.0.0,,,2565-12-16 12:41:01,2565-12-16 12:41:02,1.267s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:41:02,2565-12-16 12:41:09,6.088s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:41:09,2565-12-16 12:41:10,1.360s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:41:10,2565-12-16 12:41:11,0.911s,PASSED
,,,,,,,
Test Cases/Tc1002 search by keyword,Chrome 108.0.0.0,,,2565-12-16 12:41:11,2565-12-16 12:41:22,11.391s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:41:12,2565-12-16 12:41:14,1.875s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:41:14,2565-12-16 12:41:16,1.644s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""CMRU"")",Chrome 108.0.0.0,,,2565-12-16 12:41:16,2565-12-16 12:41:17,1.177s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:41:17,2565-12-16 12:41:20,3.577s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเชียงใหม่"", false)",Chrome 108.0.0.0,,,2565-12-16 12:41:20,2565-12-16 12:41:21,1.133s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:41:21,2565-12-16 12:41:22,0.816s,PASSED
,,,,,,,
Test Cases/Tc1003 search by keyword,Chrome 108.0.0.0,,,2565-12-16 12:41:22,2565-12-16 12:41:33,10.788s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:41:23,2565-12-16 12:41:25,1.637s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:41:25,2565-12-16 12:41:27,1.837s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""SSRU"")",Chrome 108.0.0.0,,,2565-12-16 12:41:27,2565-12-16 12:41:28,1.423s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:41:28,2565-12-16 12:41:31,3.020s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏสวนสุนันทา"", false)",Chrome 108.0.0.0,,,2565-12-16 12:41:31,2565-12-16 12:41:32,1.217s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:41:32,2565-12-16 12:41:33,0.756s,PASSED
